Month,NBA,Premier League,LaLiga,NFL
2004-01,20,6,2,25
2004-02,23,6,2,16
2004-03,19,6,3,11
2004-04,23,6,2,15
2004-05,26,5,2,7
2004-06,23,3,1,7
2004-07,15,5,1,9
2004-08,12,9,2,18
2004-09,11,7,3,34
2004-10,15,7,3,27
2004-11,28,7,3,26
2004-12,22,7,3,27
2005-01,21,7,3,29
2005-02,24,6,3,16
2005-03,21,5,3,12
2005-04,25,7,3,13
2005-05,26,6,3,7
2005-06,26,4,1,6
2005-07,13,5,2,9
2005-08,12,10,2,20
2005-09,10,7,3,36
2005-10,15,7,3,32
2005-11,24,7,3,31
2005-12,24,8,3,32
2006-01,23,7,3,34
2006-02,25,7,3,15
2006-03,21,6,3,14
2006-04,24,8,3,14
2006-05,29,5,3,9
2006-06,26,4,1,7
2006-07,13,6,2,9
2006-08,10,11,3,20
2006-09,10,10,3,38
2006-10,14,8,3,34
2006-11,23,9,3,30
2006-12,25,10,3,36
2007-01,23,9,3,33
2007-02,25,8,3,15
2007-03,22,7,3,11
2007-04,27,9,3,14
2007-05,30,8,5,8
2007-06,23,5,5,7
2007-07,14,6,2,8
2007-08,11,16,3,19
2007-09,10,12,4,39
2007-10,15,10,4,34
2007-11,26,10,3,34
2007-12,24,12,3,40
2008-01,23,10,3,31
2008-02,29,9,3,15
2008-03,30,10,4,10
2008-04,31,10,4,12
2008-05,38,9,4,7
2008-06,27,4,2,6
2008-07,13,5,2,8
2008-08,12,12,2,19
2008-09,11,11,4,38
2008-10,18,11,4,29
2008-11,28,12,4,32
2008-12,27,12,3,37
2009-01,26,12,4,29
2009-02,28,10,4,13
2009-03,26,10,4,12
2009-04,31,11,4,13
2009-05,42,11,5,7
2009-06,28,5,2,6
2009-07,16,6,3,8
2009-08,11,16,4,20
2009-09,10,12,5,40
2009-10,17,11,5,36
2009-11,26,11,4,37
2009-12,26,14,4,40
2010-01,26,13,4,37
2010-02,28,13,4,14
2010-03,22,14,6,11
2010-04,27,14,7,15
2010-05,32,9,7,7
2010-06,29,4,2,6
2010-07,22,6,3,9
2010-08,12,17,4,22
2010-09,11,13,6,44
2010-10,21,13,6,40
2010-11,27,16,8,44
2010-12,29,16,6,43
2011-01,26,15,7,43
2011-02,31,15,7,15
2011-03,28,11,7,9
2011-04,36,14,8,12
2011-05,42,15,8,7
2011-06,31,5,2,6
2011-07,10,6,3,14
2011-08,7,17,5,26
2011-09,7,14,8,45
2011-10,9,14,8,42
2011-11,12,13,8,43
2011-12,28,17,7,45
2012-01,33,14,8,48
2012-02,39,14,8,16
2012-03,35,15,11,15
2012-04,35,19,15,18
2012-05,47,14,8,9
2012-06,42,5,2,7
2012-07,20,6,3,9
2012-08,13,15,6,24
2012-09,9,16,8,58
2012-10,16,12,8,48
2012-11,30,16,8,44
2012-12,30,19,8,55
2013-01,31,15,8,44
2013-02,33,13,8,15
2013-03,33,12,8,14
2013-04,38,16,8,17
2013-05,41,13,7,8
2013-06,40,5,3,8
2013-07,17,6,3,10
2013-08,10,17,6,27
2013-09,8,18,8,58
2013-10,18,15,7,51
2013-11,29,16,7,49
2013-12,29,26,7,54
2014-01,27,20,9,46
2014-02,28,21,12,15
2014-03,28,23,15,13
2014-04,36,28,14,11
2014-05,44,18,17,14
2014-06,28,5,3,6
2014-07,18,7,4,9
2014-08,11,21,6,25
2014-09,9,19,10,58
2014-10,18,18,10,51
2014-11,30,19,11,54
2014-12,33,26,9,56
2015-01,31,21,12,51
2015-02,28,21,13,16
2015-03,28,21,13,13
2015-04,37,25,17,12
2015-05,42,20,17,11
2015-06,36,6,3,7
2015-07,15,7,3,9
2015-08,9,27,8,26
2015-09,8,20,11,63
2015-10,18,22,12,60
2015-11,35,23,11,65
2015-12,38,32,13,61
2016-01,38,28,16,71
2016-02,37,29,18,17
2016-03,38,28,16,12
2016-04,49,39,31,14
2016-05,58,28,19,9
2016-06,48,6,3,7
2016-07,21,7,3,9
2016-08,10,26,8,23
2016-09,9,26,15,65
2016-10,24,31,17,64
2016-11,46,27,15,62
2016-12,76,40,14,69
2017-01,43,35,18,68
2017-02,46,31,21,17
2017-03,45,23,21,13
2017-04,60,43,33,15
2017-05,53,31,25,8
2017-06,45,6,4,7
2017-07,22,7,3,8
2017-08,13,26,10,26
2017-09,13,27,17,70
2017-10,40,25,18,70
2017-11,51,26,15,59
2017-12,53,43,19,69
2018-01,51,32,21,67
2018-02,53,30,26,17
2018-03,52,26,23,14
2018-04,74,34,26,16
2018-05,81,21,17,8
2018-06,40,4,3,7
2018-07,23,6,4,8
2018-08,11,32,12,26
2018-09,11,32,21,71
2018-10,43,29,19,67
2018-11,59,28,19,66
2018-12,62,59,21,83
2019-01,59,48,22,75
2019-02,57,51,26,18
2019-03,56,42,22,14
2019-04,73,64,30,14
2019-05,86,38,14,7
2019-06,57,6,3,7
2019-07,25,7,3,8
2019-08,12,45,16,29
2019-09,11,40,27,81
2019-10,40,41,23,70
2019-11,67,44,23,74
2019-12,62,75,28,87
2020-01,65,55,23,80
2020-02,58,53,32,17
2020-03,36,25,15,13
2020-04,12,6,2,16
2020-05,14,7,3,9
2020-06,12,35,33,7
2020-07,18,73,37,9
2020-08,80,10,5,10
2020-09,82,46,16,65
2020-10,33,53,24,64
2020-11,15,55,25,64
2020-12,41,85,37,72
2021-01,69,83,35,80
2021-02,64,85,37,18
2021-03,56,54,33,12
2021-04,61,20,16,10
